term_en,term_es,definition,domain
Referral Fees,Comisiones por Referencia,Payments made for directing clients or business opportunities.,corporate
regional market shortfall,déficit del mercado regional,The structural lack of institutional-grade construction in regional markets despite stable demographic demand for essential services,corporate
regional markets,mercados regionales,Geographic areas outside major metropolitan centers,corporate
Registered,Inscrita,Registration with a national securities commission,corporate
Registered Dealers,Distribuidores Registrados,Authorized agents permitted to sell investment units,corporate
Registered Investment Advisors,Asesores de Inversión Registrados,Professionals licensed to provide investment advice to clients.,corporate
regulated issuer,emisor regulado,An entity with mandatory filing obligations to a government regulatory body,corporate
regulated reporting entities,entidades de información reguladas,Operating structures (like Woodfine's direct-hold solutions) with mandatory disclosures and filings to securities regulators,corporate
regulated reporting entity,entidad pública regulada,An operating structure with mandatory disclosures and filings to securities regulators across Canada,corporate
Regulatory Filings,Presentaciones Regulatorias,Documents submitted to government bodies to comply with legal requirements.,corporate
Regulatory Filing Portal,Portal de Presentación Regulatoria,An online system for submitting and accessing official government filings and disclosures,corporate
Regulatory Releases,Comunicados Regulatorios,Official statements issued by regulatory bodies or entities subject to their oversight.,corporate
REITs,Fideicomisos de Inversión en Bienes Raíces (FIBRAs),Real Estate Investment Trusts,corporate
reporting issuer,entidad informante,A term under the Canadian Securities Act for an entity with mandatory filing obligations to securities regulators,corporate
Retail Select,Selección Minorista,A strategic approach to integrating retail components with professional spaces in regional markets.,corporate
retained equity,capital retenido,Developer profit intentionally left on the operating structure's balance sheet,corporate
Revenues,Ingresos,The total income generated by a business from its primary operations.,corporate
Right of First Refusal,Derecho de Preferencia,A contractual right to purchase exchange-traded debt before it is offered to other parties.,corporate
Rust-based capability-oriented manager,gestor basado en Rust orientado a capacidades,A secure,corporate
Securities,Valores,Tradable financial instruments representing ownership or debt,corporate
Securities Commission,Comisión de Valores,A governmental body responsible for regulating the securities industry.,corporate
Securities Regulator,Regulador de Valores,An agency responsible for overseeing and enforcing securities laws.,corporate
securities-registered,inscrita en el registro de valores,The status of investment units formally registered with national securities registries.,corporate
Self-Similar Governance,Gobernanza Autosimilar,A governance model where principles apply consistently across different scales or structures.,corporate
separation of debt and equity,separación de deuda y capital,The distinct treatment of exchange-traded debt and perpetual equity within direct-hold solutions,corporate
Service Providers,Proveedores de Servicios,Entities offering specialized services,corporate
Set-of-Five Emails,Conjunto de Cinco Correos Electrónicos,A structured series of communications for specific outreach campaigns.,corporate
Share Capital or Unit Capital,Capital Accionario o de Unidades,The total value of equity contributions made by investors.,corporate
Share-based Executive Compensation,Compensación Ejecutiva Basada en Acciones,Remuneration for executives provided in the form of company shares or units,corporate
Shares,Acciones,Units of ownership in a corporation,corporate
single fixed management fee,tarifa de gestión única,A single,corporate
SOCIMI,SOCIMI,A flow-through corporate vehicle in Spain,corporate
Sociedad Cotizada (Listed - Statutory),Sociedad Cotizada (Listada - Estatutaria),A listed company in Spain where tax-exempt status is legally tied to being listed on an exchange,corporate
Socratic Dialogue,Diálogo Socrático,A method of cooperative argumentative dialogue between individuals,corporate
Spain,España,A target market for the expansion of Woodfine's direct-hold solutions.,corporate
Spain SOCIMI,Spain SOCIMI,An analytical designation for Woodfine's Spanish direct-hold solutions,corporate
Special Purpose Vehicle (SPV),Vehículo de Propósito Especial (SPV),A legal entity created for a specific,corporate
special purpose vehicles (SPVs),vehículos de propósito especial (SPV),External vehicles established by non-resident asset managers to tailor and optimize tax treaties and integrate multi-generational capital into direct-hold solutions.,corporate
Stakeholder(s),Interesado(s),Any party with an interest in a company or project,corporate
STIV-2 (CNBV),STIV-2 (CNBV),A regulatory filing portal for the Mexican National Banking and Securities Commission (CNBV),corporate
Strategic Partnerships,Alianzas Estratégicas,Collaborative agreements between entities to achieve shared long-term objectives.,corporate
STRATEGIC PARTNERSHIPS,ALIANZAS ESTRATÉGICAS,A header reference for sections on collaborative management structures.,corporate
structural reserve,reserva estructural,A financial buffer created by retained equity that funds organic deleveraging and insulates direct-hold solutions from market volatility.,corporate
Suburban Office,Oficina Suburbana,Office space located in the outskirts of metropolitan areas,corporate
Supervisory Board,Consejo de Supervisión,A governing body overseeing the management of a company,corporate
System for Electronic Document Analysis and Retrieval (SEDAR),Sistema de Análisis y Recuperación de Documentos Electrónicos (SEDAR),The electronic filing system for public companies and investment funds in Canada.,corporate
Systemic Risks,Riesgos Sistémicos,Risks inherent to a system or market,corporate
Tear Sheet – Alternative Real Estate,Hoja Resumen – Bienes Raíces Alternativos,A concise summary for non-traditional real estate investments.,corporate
Tear Sheet – Management Team,Hoja Resumen – Equipo de Gestión,A concise summary of key personnel and their qualifications.,corporate
Tear Sheet – Org Chart,Hoja Resumen – Organigrama,A concise visual representation of a company's hierarchical structure.,corporate
Tear Sheet – Partnerships,Hoja Resumen – Alianzas,A concise summary of strategic collaborations.,corporate
Tear Sheet – Qualified Investments,Hoja Resumen – Inversiones Calificadas,A concise summary of specific investment criteria and opportunities.,corporate
Tear Sheet – WCP,Hoja Resumen – WCP,A concise summary of Woodfine Capital Projects Inc.,corporate
Tear Sheet,Hoja Resumen,A concise,corporate
Tech Community,Comunidad Tecnológica,The collective of individuals and organizations involved in the technology sector.,corporate
Tech Industrial,Tecnoindustrial,A sector integrating technology with industrial processes,corporate
Terminus Capitalization Rate,Tasa de Capitalización al Término,The capitalization rate applied to the projected net operating income in the final year of a financial forecast.,corporate
three-legged stool (management),taburete de tres patas (gestión),A descriptive term for the tripartite management structure,corporate
Topics,Temas,Subjects or themes for discussion or analysis,corporate
Totebox Archives™,Archivos Totebox™,Cryptographically secured,corporate
Totebox Orchestration™,Orquestación Totebox™,A core system within PointSav Digital Systems that organizes and manages proprietary data within cryptographic Totebox Archives,corporate
Total Expense Ratio,Ratio de Gastos Totales,A measure of the total costs associated with managing and operating an investment fund.,corporate
Track Record,Historial,A history of past performance or achievements,corporate
Traders,Operadores,Individuals or institutions engaged in buying and selling financial instruments.,corporate
Transaction #1,Transacción #1,The initial funding round for Woodfine's direct-hold solutions in Canada.,corporate
Transaction #2,Transacción #2,A subsequent funding round for Woodfine's direct-hold solutions in the U.S.,corporate
Transaction #3,Transacción #3,A subsequent funding round for Woodfine's direct-hold solutions in Spain.,corporate
Transaction #4,Transacción #4,A subsequent funding round for Woodfine's direct-hold solutions in Mexico.,corporate
Transaction Summary,Resumen de la Transacción,A proposal document outlining a qualified investment opportunity.,corporate
Transfer Certificate,Certificado de Transferencia,A document verifying the transfer of ownership for unlisted investment units.,corporate
Transfer of Ownership Certificate,Certificado de Transferencia,A certificate initiating the transfer of ownership for unlisted investment units,corporate
Traditional REITs,Fideicomisos de Inversión Tradicionales,Legacy real estate investment trusts,corporate
tripartite management structure,estructura de gestión tripartita,A management structure involving three parties: Woodfine Management Corp. overseeing development,corporate
Trust Units,Unidades de Fideicomiso,Units of ownership in a trust,corporate
unikernels,unikernels,Encrypted,corporate
Unit Capitalization or Share Capitalization,Capitalización de Unidades o Acciones,The total market value of a company's outstanding units or shares.,corporate
Unit Capital,Capital de Unidades,The total value of capital represented by investment units.,corporate
Unit-based Management Compensation,Compensación de Gestión Basada en Unidades,Remuneration for management provided in the form of investment units,corporate
universal governing documents,documentos de gobierno universales,Core contracts,corporate
US,Estados Unidos (EE. UU.),A target market for the expansion of Woodfine's direct-hold solutions.,corporate
Use Case,Caso de Uso,A specific scenario describing how a system or product is used to achieve a goal.,corporate
Value Add,Valor Añadido,Strategies to increase the value of a property through improvements or management,corporate
Venture Capital,Capital de Riesgo,Financing provided to early-stage,corporate
Vertical Warehouses,Almacenes Verticales,Multi-story storage facilities,corporate
WCP,WCP,Abbreviation for Woodfine Capital Projects Inc.,corporate
WCP Common Shares,Acciones Comunes de WCP,Standard class of equity shares in Woodfine Capital Projects Inc.,corporate
WCP Investor Presentation,Presentación a Inversores de WCP,A formal document presenting investment opportunities in Woodfine Capital Projects Inc.,corporate
WCP Shareholders Agreement,Acuerdo de Accionistas de WCP,A legal contract governing the rights and obligations of shareholders in Woodfine Capital Projects Inc.,corporate
Western Canada,Canadá Occidental,A geographical area where early co-location strategies were developed with national retailers.,corporate
Whitepaper Discovery Process,Proceso de Descubrimiento de Libro Blanco,The initial research and analysis phase for developing a whitepaper.,corporate
Whitepaper,Libro Blanco,An authoritative report or guide informing readers concisely about a complex issue and presenting a solution.,corporate
Wholesale Club,Club Mayorista,A retail format offering products in bulk at discounted prices.,corporate
Woodfine Buildings,Edificios Woodfine,Institutional-grade buildings developed by Woodfine,corporate
Woodfine Capital Projects Inc.,Woodfine Capital Projects Inc.,The Promoter and parent company that strategically develops and launches direct-hold solutions and PointSav Digital Systems.,corporate
WOODFINE CAPITAL PROJECTS,WOODFINE CAPITAL PROJECTS INC.,A header reference for sections on the Promoter and parent company.,corporate
Woodfine Group,El Grupo Woodfine,The collective entities associated with Woodfine Capital Projects Inc.,corporate
Woodfine direct-hold solutions,Soluciones de Tenencia Directa Woodfine,Legal structures used as direct-hold solutions to own and operate physical real estate assets.,corporate
Woodfine LP Investor Presentation,Presentación a Inversores de Woodfine LP,A formal document presenting investment opportunities in Woodfine direct-hold solutions.,corporate
Woodfine LPs,LPs de Woodfine,Abbreviation for Woodfine direct-hold solutions.,corporate
Woodfine Management Corp. (Administrator),Woodfine Management Corp. (Administrador),The entity that administers the direct-hold solutions through dedicated subsidiaries,corporate
Woodfine Management Corp.,Woodfine Management Corp.,The Principal Manager,corporate
Woodfine or the Firm,Woodfine o la Firma,Refers to Woodfine Management Corp. as the principal manager and operating company.,corporate
Woodfine Professional Centres 2 Limited Partnership,Woodfine Professional Centres 2 Limited Partnership,A formal statutory entity for Woodfine's direct-hold solutions within the United States jurisdiction.,corporate
Woodfine Professional Centres 3 Sociedad Anónima Cotizada de Inversión Inmobiliaria,Woodfine Professional Centres 3 Sociedad Anónima Cotizada de Inversión Inmobiliaria,A formal statutory entity for Woodfine's direct-hold solutions within the Spanish jurisdiction,corporate
Woodfine Professional Centres 4 Fideicomiso de Infraestructura en Bienes Raíces,Woodfine Professional Centres 4 Fideicomiso de Infraestructura en Bienes Raíces,A formal statutory entity for Woodfine's direct-hold solutions within the Mexican jurisdiction,corporate
Woodfine Professional Centre,Centro Profesional Woodfine,An institutional-grade office building,corporate
Woodfine Professional Centres Limited Partnership (Canada),Woodfine Professional Centres Limited Partnership (Canadá),A specific direct-hold solution structured as a limited partnership in Canada.,corporate
Woodfine Professional Centres,Centros Profesionales Woodfine,The portfolio of institutional-grade buildings developed by Woodfine.,corporate
Woodfine Retail Select Building,Edificio Woodfine Retail Select,A multi-use structure combining institutional-grade office and retail spaces,corporate
Woodfine Suburban Office,Oficina Suburbana Woodfine,An institutional-grade office building,corporate
Woodfine Tech Industrial Building,Edificio Industrial Tecnológico Woodfine,A combined industrial and commercial building,corporate
Zero-Drift Architecture,Arquitectura de Deriva Cero,An architectural principle ensuring immutability of raw data assets,corporate
